tool_type,question_en,answer_en,question_mr,answer_mr
Troubleshooter,My inverter is not working.,"Check if the battery is charged and all wire connections are tight. If not, recharge or reconnect.",माझा इन्व्हर्टर चालू नाही.,बॅटरी चार्ज आहे का आणि सर्व वायर कनेक्शन घट्ट आहेत का ते तपासा. नसेल तर चार्ज किंवा कनेक्शन दुरुस्त करा.
Troubleshooter,Why are my solar panels not charging the battery?,"Check for dust on panels and clean them. Also, make sure the charge controller is working.",माझे सौर पॅनेल बॅटरी चार्ज का करत नाहीत?,पॅनेलवर धूळ असेल तर साफ करा. चार्ज कंट्रोलर व्यवस्थित काम करतोय का बघा.
Troubleshooter,Why is my inverter beeping continuously?,Check for overload or low battery. Reduce load and charge battery fully.,माझा इन्व्हर्टर सतत बीप का देतो?,ओव्हरलोड किंवा बॅटरी लो आहे का बघा. लोड कमी करा आणि बॅटरी फुल चार्ज करा.
Estimator,How many panels do I need for 3kWh daily?,You need approx 2-3 panels of 330W each for 3kWh daily generation.,३ किव्हीसाठी किती पॅनेल्स लागतील?,३ किव्हीसाठी सुमारे २-३ ३३०W पॅनेल्स लागतील.
Estimator,How many panels for 5kWh?,You need about 4-5 panels of 330W each for 5kWh generation.,५ किव्हीसाठी किती पॅनेल्स?,५ किव्हीसाठी सुमारे ४-५ ३३०W पॅनेल्स लागतील.
Disaster Guide,How can I use solar power for emergency lighting?,Connect LED bulbs to the battery through an inverter or DC output.,आपत्कालीन लाईटिंगसाठी सौर ऊर्जा कशी वापरावी?,LED बल्ब बॅटरीला इन्व्हर्टर किंवा DC आउटपुटद्वारे कनेक्ट करा.
Disaster Guide,How to set up solar system for first-aid center?,"Connect panels to charge controller, then to battery and inverter. Use DC/AC as needed.",फर्स्ट-एड सेंटरसाठी सौर सिस्टिम कशी बसवावी?,"पॅनेल्स चार्ज कंट्रोलरला, मग बॅटरी व इन्व्हर्टरला जोडा. DC/AC गरजेनुसार वापरा."
Weather-safe,How to safely disconnect panels before cyclone?,Turn off the main switch and disconnect the panels from the inverter.,चक्रीवादळापूर्वी पॅनेल्स सुरक्षितपणे कसे डिस्कनेक्ट करावेत?,मुख्य स्विच बंद करा आणि पॅनेल्स इन्व्हर्टरपासून डिस्कनेक्ट करा.
Weather-safe,What should I do if heavy rain is expected?,Tilt panels for drainage and check mountings. Disconnect if severe weather is predicted.,जोरदार पाऊस अपेक्षित असल्यास मी काय करावे?,पॅनेल्सला उतार द्या आणि माउंटिंग तपासा. अतिवृष्टी असल्यास डिस्कनेक्ट करा.
Damage Reporter,"The glass on my solar panel is broken, what should I do?",Cover the panel to prevent water entry. Do not use until repaired.,"माझ्या सौर पॅनेलचे काच तुटले आहे, काय करावे?",पॅनेलवर झाकण ठेवून पाणी शिरू देऊ नका. दुरुस्ती होईपर्यंत वापरू नका.
Damage Reporter,There is a burning smell from the inverter.,Immediately turn off the inverter and disconnect from all sources. Call a technician.,इन्व्हर्टरमधून जळण्याचा वास येतो आहे.,ताबडतोब इन्व्हर्टर बंद करा व सर्व कनेक्शन डिस्कनेक्ट करा. तज्ञाला बोलवा.
